,Datum,Profil,Text,Anzahl Likes,Anzahl Kommentare,"Reaktionen, Kommentare & Shares",Post-Interaktionsrate,Profil-ID,Beitrag-ID,Link,Partei,Gruppe,identifier,sentiment,politikfeld,emotion,Organische Impressionen/Aufrufe der Posts,Engagement
0,"16.02.25, 20:51",Lilly Blaudszun,"Wir haben gerade „Mit der Faust in die Welt schlagen“ gesehen, der am 3.4. in die Kinos kommt 🥺 Der Film ist frei nach dem gleichnamigen Roman von rtzschl (Glückwunsch, Lukas!🩷) - es geht um das Aufwachsen in einem ostsächsischen Dorf, Hinterlassenschaften der DDR und rechte Radikalisierung von gerade jungen Menschen auf dem Land. Wir fanden ihn ziemlich gut, bald gibts hier auch mehr dazu!",,"6,0","6,0","1,3163090693694878E-4",1949538354,18052966160113703,https://www.instagram.com/p/DGJWUMqND7k/,SPD,Konkurrenz Pers,18052966160113703-1949538354,positive,gesellschaft,neutral,,
1,"16.02.25, 19:13",DANIELA SEPEHRI,"Am Sonntag ist Bundestagswahl und ich werde seit Wochen gefragt, wen ich eigentlich wähle bzw. wie ich entscheide, wen ich wähle. Ich habe bereits einige Videos zur Zweitstimme gemacht, hier ein paar Tipps zur Wahl der Erststimme. Ihr könnt es so machen wie ich, müsst ihr aber natürlich nicht.

#bundestagswahl #btw25 #bundestagswahl2025 #erststimme","1185,0","42,0","1227,0","0,02358753532363175",6064267606,17880697170145671,https://www.instagram.com/reel/DGJK0pGOM_0/,Keine Zugehörigkeit feststellbar,Konkurrenz Pers,17880697170145671-6064267606,neutral,events und aktionen,neutral,,
2,"16.02.25, 18:06",Philipp Amthor MdB,"#CDU: Gute Stimmung und volle Motivation im Schlussspurt! Als Mitglied des CDU-Bundesvorstandes habe ich am Freitag bei hervorragenden Bundesrednerterminen in Baden-Württemberg und in Rheinland-Pfalz unterstützt: Mit mehreren hundert Bürgergesprächen bei Nina Warken in Tauberbischofsheim, bei Christian von Stetten in Öhringen und bei Alexander Throm in Heilbronn sowie mit dem tollen Veranstaltungsformat „Popcorn und Politik“ bei Julia Klöckner in einem vollen Kino in Hoppstädten-Weiersbach. Danke für die guten Termine! | cdu nina.warken christian_von_stetten alexthrom juliakloeckner","1160,0","13,0","1173,0","0,009915552963254127",5370294456,17892438219177540,https://www.instagram.com/p/DGJDbuoovMF/,Keine Zugehörigkeit feststellbar,Konkurrenz Pers,17892438219177540-5370294456,positive,events und aktionen,joy,,
3,"16.02.25, 17:50",Sebastian 23,"Es tut so gut zu sehen, wie viele stabil sind und stabil bleiben und nicht auf Hass, Hetze und Spaltung reinfallen. Danke euch allen! So kann es gehen, bleiben wir dran! ✊❤️","14448,0","97,0","14545,0","0,12920849249355956",1907131219,18118451143429399,https://www.instagram.com/p/DGJBqj0MY3c/,Keine Zugehörigkeit feststellbar,Konkurrenz Pers,18118451143429399-1907131219,positive,gesellschaft,joy,,
4,"16.02.25, 17:35",News-WG by BR24,"Meine Challenge: Hol ein Ukraine-Statement von den Kanlzerkandidaten auf der SiKo! 🗨️🇺🇦     

Wir waren dieses Jahr wieder für euch auf der Münchner Sicherheitskonferenz unterwegs. Jedes Jahr treffen sich hier ein Wochenende lang wichtige Staats- und Regierungschef:innen, um sich auf der Bühne (und manchmal auch in geheimen Hinterzimmern 👀) über herrschende Konflikte, Kriege und Krisen auszutauschen.  
Weil hier so viele Politiker:innen herumlaufen, dachten wir uns: Zeit für eine Challenge! 
Ich will versuchen, den drei Kanzlerkandidaten Scholz, Merz und Habeck ein Statement zur aktuellen Situation rund um den Angriffskrieg gegen die Ukraine zu entlocken. Das ist das Top-Thema der diesjährigen SiKo. Die drei Politiker zu erwischen, ist aber gar nicht so leicht. 

Wie hab’ ich mich geschlagen? Und lasst mal ein 👋 in den Kommis, wenn ihr euch noch an das SiKo-Selfie 2020 von Ex-WG-Mitbewohnerin Helene und dem französischen Präsidenten Macron erinnert.  

Liebe Grüße 
eure Minusch.","888,0","16,0","904,0","0,00505361076016592",6928558239,18269117374255903,https://www.instagram.com/reel/DGI_xb9sO_Q/,Keine Zugehörigkeit feststellbar,Konkurrenz Pers,18269117374255903-6928558239,neutral,sicherheit,neutral,,
5,"16.02.25, 16:10",lilli fischer,Winter Depression? Schnee Liebe! ❤️,"267,0","4,0","271,0","0,06207054512139258",318209532,17897519721109889,https://www.instagram.com/p/DGI2MlXIAlp/,Keine Zugehörigkeit feststellbar,Konkurrenz Pers,17897519721109889-318209532,positive,sonstiges,joy,,
6,"16.02.25, 15:48",Maurice Höfgen,"Die AfD macht faule Versprechen und ihr Chef, Tino Chrupalla, kann nicht erklären, wo das Geld herkommen soll!

Selbst die Kürzungen, die er hier aufzählt, ließen sich so nicht umsetzen, weil sie zum großen Teil rechtswidrig wären!

Den kompletten Streit findet ihr bei der tagesschau oder in der ARD-Mediathek. Und meine Reaction obendrein bei mir auf YouTube! 🤝","26127,0","845,0","26972,0","0,2179872627937801",232188306,18046101053350893,https://www.instagram.com/reel/DGIzRgRM13u/,Die Linke,Konkurrenz Pers,18046101053350893-232188306,negative,staatliche finanzen,disgust,,
7,"16.02.25, 14:27",Katarina Barley,"📢 Hoheitlicher Besuch im Lahntal! 🍷👑

Letztes Wochenende durfte die Weinbauregion Lahntal hochrangigen Besuch empfangen: Die Deutsche Weinkönigin Charlotte Weihl (Pfalz) sowie die Gebietsweinköniginnen Julia Lambrich (Mittelrhein) und Katharina Gräff (Nahe) machten im Rahmen ihrer Reise durch das Anbaugebiet Mittelrhein Halt in Weinähr und Obernhof. Begleitet wurden sie von den Mittelrheinweinhoheiten Felix Grün, Johanna Persch und Anna Weinand.

Dieser besondere Besuch hebt die Bedeutung der Region für den deutschen Weinbau hervor und bringt das Lahntal ins nationale Rampenlicht! 🍇🏞️ Die traditionsreiche Weinkultur, erstklassige Weine und die wunderschöne Landschaft machen das Lahntal zu einem perfekten Ziel für Genießer und Entdecker.

Ebenfalls mit dabei:
📌 MdB Tanja Machalet
📌 VG-Bürgermeister Uwe Bruchhäuser
📌 EU-Vizepräsidentin Katarina Barley
📌 MdL Manuel Liguori

Ein besonderer Tag für die Region und ihre Winzer – mit nachhaltigem Mehrwert für Wein, Kultur und Tourismus! 🍷✨","402,0","6,0","408,0","0,007404584308814722",4025596735,17973192569822600,https://www.instagram.com/p/DGIqcqTNpEd/,SPD,Konkurrenz Pers,17973192569822600-4025596735,positive,events und aktionen,joy,,
8,"16.02.25, 11:52",Ricarda Lang,"Aber Frau Lang, warum reden Sie über Klimaschutz, das interessiert doch in diesem Wahlkampf niemand? 

Das höre ich in diesen Tag in vielen Gesprächen mit Journalisten. Klima ist halt gerade einfach kein wichtiges Thema. Aber die Realität ist: der Klimakrise ist es relativ egal, ob in Deutschland gerade Wahlkampf oder ob sie gerade Topthema ist. Sie ist trotzdem da und gefährdet unsere Freiheit, unseren Wohlstand und unsere Zukunft. Klimapolitik nach Aufmerksamkeitskonjunktur klappt nicht, denn die Verantwortung für unseren Planeten und das Leben auf ihm tragen wir immer. Und deshalb werde ich weiter im Wahlkampf über Klimaschutz sprechen und vor allem weiter für eine ambitionierte Klimapolitik kämpfen. 

In diesem Sinne habe ich mich sehr über den Klimastreik in Schwäbisch Gmünd am Freitag mit den @omas_forfuture.gd gefreut. Denn es gibt viele Menschen, die sich weiterhin für dafür einsetzen, dass wir Natur und Klima schützen. Und für sie will ich eine Stimme sein 💚","2881,0","24,0","2905,0","0,022683970514742628",1999401021,17850750336362531,https://www.instagram.com/p/DGIYn2it5lD/,Die Grünen,Konkurrenz Pers,17850750336362531-1999401021,positive,klimaschutz,joy,,
9,"16.02.25, 11:31",Rasmus Andresen,"Geldpolitik und Finanzstabilität muss neu gedacht werden, und kann nicht mehr einfach nach den Regeln der  90er-Jahren gemacht werden. Wer wirklich will, dass die Inflation sinkt, muss sich mit den heutigen Ursachen auseinandersetzen. Hohen Energiekosten und die Profitgier großer Konzerne haben die Preisexplosion befeuert. Viele Unternehmen haben die Krise genutzt, um ihre Gewinne auf Kosten der Verbraucher zu steigern. Statt blind an alten Rezepten festzuhalten, braucht es eine ehrliche Analyse und konsequente Maßnahmen.","35,0","0,0","35,0","0,004727174500270125",673175152,18087231799564598,https://www.instagram.com/reel/DGIWLIcONcs/,Die Grünen,Konkurrenz Pers,18087231799564598-673175152,negative,wirtschaft,anger,,
10,"16.02.25, 10:23",DANIELA SEPEHRI,"Ich wünschte, wir würden uns über die mindestens 7 Femizide allein im Januar 2025 auch so empören. Aber die Empörung bleibt aus, wenn es deutsche Täter sind...","9314,0","88,0","9402,0","0,18074165208865992",6064267606,18034604339215374,https://www.instagram.com/p/DGIOfPLItUI/,Keine Zugehörigkeit feststellbar,Konkurrenz Pers,18034604339215374-6064267606,negative,gesellschaft,anger,,
11,"16.02.25, 09:26",Fabian,"Besteht Saskia Esken (SPD) den Gen Z Test? 🥙

Vor der Bundestagswahl am 23.02. präsentieren sich die Parteien in Sozialen Netzwerken jung und modern. Doch verstehen sie die junge Generation wirklich? Und was haben Jugendwörter mit Parteiprogrammen zu tun?

#Bundestagswahl #Wahl #Nachrichten #Politik #GenZ","5873,0","76,0","5949,0","0,035787118081247404",645901837,17981164160660751,https://www.instagram.com/reel/DGIHdUDNrEC/,Keine Zugehörigkeit feststellbar,Konkurrenz Pers,17981164160660751-645901837,neutral,gesellschaft,neutral,,
12,"15.02.25, 21:49",Maurice Höfgen,"Bei Hart aber Fair 360 Grad habe ich mit AfD-Chef Tino Chrupalla über deren Steuerprogramm gestritten.

Das ganze Video gibt es in der ARD-Mediathek!","64816,0","1861,0","66677,0","0,5617270429654592",232188306,17895744261157842,https://www.instagram.com/reel/DGG3-PIM_SL/,Die Linke,Konkurrenz Pers,17895744261157842-232188306,neutral,wirtschaft,anger,,
13,"15.02.25, 19:50",Moritz Körner,"Alice Weidels Gespräch mit Elon Musk auf X war kein Glanzstück ihrer intellektuellen Fähigkeiten – eher ein peinlicher Beleg dafür, wie dünn die inhaltliche Substanz hinter der großen Rhetorik tatsächlich ist. Statt kluger Argumente gab es Phrasen, statt fundierter Antworten nur vages Gestammel. #maszmoritz #musk #weidel #x","568,0","529,0","1097,0","0,10423793234511593",1286530533,18050187391981349,https://www.instagram.com/reel/DGGqhQot228/,Keine Zugehörigkeit feststellbar,Konkurrenz Pers,18050187391981349-1286530533,negative,gesellschaft,disgust,,
14,"15.02.25, 19:04",Ricarda Lang,Hella Hella Gamundia! Gestern Abend war die Prunksitzung der Gmender Fastnet. Ein lustiger und feierfreudiger Abend. Ich habe mich als Walter ins Gewimmel gestürzt. Ich wünsch euch allen eine tolle Fasnetszeit! 👯‍♂️,"8234,0","70,0","8304,0","0,06530817689204174",1999401021,18140364625374356,https://www.instagram.com/p/DGGlTk_N9cs/,Die Grünen,Konkurrenz Pers,18140364625374356-1999401021,positive,events und aktionen,joy,,
