,Day,Campaign name,Ad Set Name,Ad name,Reach,Impressions,Frequency,Result type,Results,Amount spent (EUR),Cost per result,"CPM (cost per 1,000 impressions)",CPC (cost per link click),"Cost per 1,000 Accounts Center accounts reached",Cost per ThruPlay,3sek % Impression,25% in % Impressions,50% in % Impression,75% in % Impression,95% in % Impressions,100% in % Impressions,ThruPlay % Impression,CTR (all),CTR (link click-through rate),ThruPlays,Video average play time,Video plays,Cost per 3-second video play,Reporting starts,Reporting ends
0,,,,,3919907,13724599,3.50125628,mixed,,59354.86,,4.32470632,1.6778759,15.14190515,0.37895434,0.06299069,0.04803776,0.02225879,0.01495403,0.01181484,0.0112761,0.01141221,0.36251697,0.25774888,156628.0,1.0,12536171.0,0.06865627,2021-05-26,2021-09-30
1,2021-09-25,DE0000_BTW21_Run2_Conversion,DE0000_Run2_IG_WK3_m_Conversion,DE0000_Run2_IG_WWS2_WK3_m_Conversion,734,1321,1.79972752,Link clicks,24.0,13.86,0.5775,10.49205148,0.5775,18.88283379,1.386,0.0317941,0.02649508,0.03709311,0.01286904,0.00757002,0.00757002,0.00757002,1.81680545,1.81680545,10.0,0.0,1283.0,0.33,2021-09-25,2021-09-25
2,2021-09-25,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK3_m_Awareness,DE0000_Run2_IG_WWS2_WK3_m_Awareness,5794,5859,1.0112185,Estimated ad recall lift (people),190.0,11.71,0.06163158,1.99863458,0.97583333,2.02105627,0.30815789,0.02082267,0.01792115,0.01058201,0.00733914,0.00648575,0.00648575,0.00648575,0.20481311,0.20481311,38.0,0.0,5489.0,0.09598361,2021-09-25,2021-09-25
3,2021-09-25,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_neu_WK1_w_Awareness,DE0000_Run2_IG_WWS1_WK1_w_Awareness,10298,10645,1.03369586,Estimated ad recall lift (people),500.0,35.51,0.07102,3.33583842,1.26821429,3.44824238,0.55484375,0.02611555,0.02000939,0.00976984,0.00676374,0.00601221,0.00601221,0.00601221,0.26303429,0.26303429,64.0,0.0,10259.0,0.12773381,2021-09-25,2021-09-25
4,2021-09-25,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK2_m_Awareness,DE0000_Run2_IG_WWS2_WK2_m_Awareness,4994,5046,1.01041249,Estimated ad recall lift (people),280.0,14.16,0.05057143,2.80618312,0.944,2.83540248,0.36307692,0.03012287,0.02298851,0.01268331,0.00891795,0.00772889,0.00772889,0.00772889,0.31708284,0.29726516,39.0,0.0,4835.0,0.09315789,2021-09-25,2021-09-25
5,2021-09-25,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK2_m_Awareness,DE0000_Run2_IG_WWS1_WK2_m_Awareness,3726,3775,1.01315083,Estimated ad recall lift (people),160.0,10.58,0.066125,2.80264901,1.76333333,2.83950617,0.4232,0.02516556,0.01986755,0.01006623,0.00794702,0.00662252,0.00662252,0.00662252,0.18543046,0.1589404,25.0,0.0,3581.0,0.11136842,2021-09-25,2021-09-25
6,2021-09-25,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK1_m_Awareness,DE0000_Run2_IG_WWS1_WK1_m_Awareness,7608,7629,1.00276025,Estimated ad recall lift (people),340.0,24.31,0.0715,3.1865251,2.431,3.19532072,0.49612245,0.02791978,0.02136584,0.00969983,0.00734041,0.00642286,0.00642286,0.00642286,0.14418666,0.13107878,49.0,0.0,7257.0,0.11413146,2021-09-25,2021-09-25
7,2021-09-25,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK1_m_Awareness,DE0000_Run2_IG_WWS2_WK1_m_Awareness,8660,8896,1.02725173,Estimated ad recall lift (people),510.0,27.95,0.05480392,3.14186151,2.32916667,3.22748268,0.32126437,0.03282374,0.02585432,0.01495054,0.01157824,0.0100045,0.00989209,0.00977968,0.1573741,0.13489209,87.0,0.0,8566.0,0.09571918,2021-09-25,2021-09-25
8,2021-09-25,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK3_w_Awareness,DE0000_Run2_FB_WWS2_WK3_w_Awareness,2147,2504,1.16627853,Estimated ad recall lift (people),290.0,8.93,0.0307931,3.56629393,2.97666667,4.15929204,0.47,0.08226837,0.06110224,0.02116613,0.01078275,0.00798722,0.0071885,0.00758786,0.27955272,0.11980831,19.0,1.0,2066.0,0.04334951,2021-09-25,2021-09-25
9,2021-09-25,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_neu_WK1_m_Awareness,DE0000_Run2_FB_WWS2_WK1_m_Awareness,1445,1526,1.05605536,Estimated ad recall lift (people),170.0,6.22,0.03658824,4.07601573,6.22,4.30449827,0.47846154,0.11861075,0.07929227,0.02228047,0.01310616,0.008519,0.008519,0.008519,0.1310616,0.0655308,13.0,2.0,1240.0,0.03436464,2021-09-25,2021-09-25
